STATE,ENROLL,NAME,YRDATA,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURINST,TCURSSVC,TCURONON,TCAPOUT
Alabama,9609,AUTAUGA COUNTY SCHOOL DISTRICT,2016,80867,7447,53842,19578,76672,43843,23941,6401,1506
Alabama,30931,BALDWIN COUNTY SCHOOL DISTRICT,2016,338236,23710,145180,169346,299880,164977,97231,19439,9749
Alabama,912,BARBOUR COUNTY SCHOOL DISTRICT,2016,10116,2342,5434,2340,10070,4907,3896,975,110
Alabama,2842,EUFAULA CITY SCHOOL DISTRICT,2016,26182,3558,15900,6724,29843,15302,7901,2274,4133
Alabama,3322,BIBB COUNTY SCHOOL DISTRICT,2016,32486,3664,21846,6976,31662,16407,11087,3122,486
Alabama,7870,BLOUNT COUNTY SCHOOL DISTRICT,2016,69966,6929,48563,14474,68297,37442,22662,5500,2193
Alabama,1477,ONEONTA CITY SCHOOL DISTRICT,2016,13464,992,8541,3931,12726,6999,3758,1541,214
Alabama,1505,BULLOCK COUNTY SCHOOL DISTRICT,2016,14876,3061,9273,2542,14713,6996,6006,1542,31
Alabama,3135,BUTLER COUNTY SCHOOL DISTRICT,2016,32062,6439,18770,6853,31393,16091,10523,2950,471
Alabama,2099,ANNISTON CITY SCHOOL DISTRICT,2016,23776,4344,11810,7622,24320,12649,9344,1890,413
Alabama,9054,CALHOUN COUNTY SCHOOL DISTRICT,2016,86559,8361,54887,23311,93475,45298,31384,7137,8288
Alabama,1544,JACKSONVILLE CITY SCHOOL DISTRICT,2016,14925,1563,8599,4763,22806,8696,4489,1186,8033
Alabama,1247,PIEDMONT CITY SCHOOL DISTRICT,2016,11695,1507,7287,2901,11355,6262,3701,1025,259
Alabama,4171,OXFORD CITY SCHOOL DISTRICT,2016,43617,3494,23131,16992,41504,23367,13221,2624,900
Alabama,3729,CHAMBERS COUNTY SCHOOL DISTRICT,2016,35550,5072,21545,8933,35428,18163,12613,3468,635
Alabama,863,LANETT CITY SCHOOL DISTRICT,2016,9413,1648,5717,2048,9419,5161,3057,918,232
