State,Year,Total Revenues,Total Expenditures,Enrollment,Average Math Score (4th Grade),Average Math Score (8th Grade),Average Reading Score (4th Grade),Average Reading Score (8th Grade)
AL,1990,,,,,252.8636599,,
AL,1992,,,,208.3278759,252.1875224,207.3584922,
AL,1993,2827391,2833433,727716,,,,
AL,1994,2970223,3103266,730004,,,207.9635172,
AL,1995,3367437,3353363,727480,,,,
AL,1996,3365113,3572283,735912,211.6469735,256.5948632,,
AL,1997,3981788,3963624,737386,,,,
AL,1998,4140537,4245033,739321,,,210.9207675,255.2266348
AL,1999,4471546,4622810,737639,,,,
AL,2000,4885917,5003267,730184,217.941053,262.1582055,,
AL,2001,4832946,5086045,728532,,,,
AL,2002,5128559,5147821,726367,,,206.8800295,252.5017054
AL,2003,5196054,5298932,727900,223.3446426,261.9390222,207.0838476,253.1725937
AL,2004,5356113,5450269,730418,,,,
AL,2005,5889966,5904664,729342,225.0712362,262.2111,207.752033,251.9783912
AL,2006,6364028,6591429,743265,,,,
AL,2007,7069040,7196459,743273,228.520018,266.0001099,216.3889539,251.9368814
AL,2008,7726213,7847387,742919,,,,
AL,2009,7186390,7815467,745668,227.9626504,268.5241203,216.2733559,254.8952466
AL,2010,7281058,7647571,748889,,,,
AL,2011,7376725,7411768,746933,231.286019,269.0965158,220.2734133,258.4210904
AL,2012,7136949,7222161,744621,,,,
AL,2013,7197439,7487741,744548,232.8613325,269.1942806,218.5759534,257.4278382
AL,2014,7357267,7587737,740081,,,,
AL,2015,7360222,7501799,734974,230.9774227,266.5553185,217.0490898,258.7537615
AL,2016,7498567,7708845,734652,,,,
AL,2017,,,,232.1706877,268.3120202,216.4198135,257.6865203
AK,1993,1191398,1126398,121156,,,,
AK,1994,1052282,1116160,123868,,,,
AK,1995,1117068,1203817,125421,,,,
AK,1996,1120346,1240031,126189,223.8334546,277.6430714,,
AK,1997,1131950,1237103,128143,,,,
AK,1998,1206195,1222893,130633,,,,
AK,1999,1243227,1289988,133508,,,,
AK,2000,1313510,1386904,132822,,,,
AK,2001,1325498,1402839,131985,,,,
AK,2002,1377767,1523327,133010,,,,
AK,2003,1425948,1610289,133303,232.9916543,279.0250699,211.5471536,256.4096253
AK,2004,1477152,1647250,133153,,,,
AK,2005,1599739,1751718,132568,235.5107055,278.9587094,211.0613186,258.7212747
AK,2006,1625138,1817656,132893,,,,
AK,2007,1800616,1938755,132197,237.2738932,282.5571541,214.4769544,258.7984559
AK,2008,2188587,2274819,130624,,,,
AK,2009,2158970,2396412,130236,237.2122843,283.0476628,211.1273683,259.4494265
AK,2010,2230338,2371251,131265,,,,
AK,2011,2357828,2443898,131704,236.359658,283.2727979,207.9236959,261.285252
AK,2012,2383402,2483320,130771,,,,
AK,2013,2545117,2665933,131091,236.1220044,281.5595728,209.3472882,261.2560926
AK,2014,2663647,2727056,130539,,,,
AK,2015,2920986,2968341,130755,236.328417,280.4934562,212.7926002,260.3170188
AK,2016,2494691,2623014,132477,,,,
AK,2017,,,,230.4562776,277.0155718,207.0376301,257.6674968
AZ,1990,,,,,259.5900676,,
AZ,1992,,,,215.253932,265.3662778,209.4020648,
AZ,1993,3427976,3623946,676297,,,,
AZ,1994,3566586,3803379,708482,,,206.2127155,
AZ,1995,3815218,4056279,735018,,,,
AZ,1996,4143304,4391555,764681,217.5759405,267.8748343,,
AZ,1997,4343262,4432360,783552,,,,
AZ,1998,4675296,4726098,794331,,,206.5297884,260.800208
AZ,1999,5085826,5072471,814157,,,,
AZ,2000,5479168,5397194,814807,218.7666191,270.7154059,,
AZ,2001,5916342,5858385,834387,,,,
AZ,2002,6192222,6018188,859588,,,205.3472754,256.7349114
