Latitude,Longitude,State
32.6010112,-86.6807365,AL
61.3025006,-158.7750198,AK
34.1682185,-111.930907,AZ
34.7519275,-92.1313784,AR
37.2718745,-119.2704153,CA
38.9979339,-105.550567,CO
41.5187835,-72.757507,CT
39.145251,-75.4189206,DE
38.8993487,-77.0145666,DC
27.9757279,-83.8330166,FL
32.6781248,-83.2229757,GA
20.46,-157.505,HI
45.4945756,-114.1424303,ID
39.739318,-89.504139,IL
39.7662195,-86.441277,IN
41.9383166,-93.389798,IA
38.4987789,-98.3200779,KS
37.8222935,-85.7682399,KY
30.9733766,-91.4299097,LA
45.2185133,-69.0148656,ME
38.8063524,-77.2684162,MD
42.0629398,-71.718067,MA
44.9435598,-86.4158049,MI
46.4418595,-93.3655146,MN
32.5851062,-89.8772196,MS
38.3046615,-92.437099,MO
46.6797995,-110.044783,MT
41.5008195,-99.680902,NE
38.502032,-117.0230604,NV
44.0012306,-71.5799231,NH
40.1430058,-74.7311156,NJ
34.1662325,-106.0260685,NM
40.7056258,-73.97968,NY
35.2145629,-79.8912675,NC
47.4678819,-100.3022655,ND
40.1903624,-82.6692525,OH
35.3097654,-98.7165585,OK
44.1419049,-120.5380993,OR
40.9945928,-77.6046984,PA
41.5827282,-71.5064508,RI
33.62505,-80.9470381,SC
44.2126995,-100.2471641,SD
35.830521,-85.9785989,TN
31.1693363,-100.0768425,TX
39.4997605,-111.547028,UT
43.8717545,-72.4477828,VT
38.0033855,-79.4587861,VI
38.8993487,-77.0145665,WA
38.9201705,-80.1816905,WV
44.7862968,-89.8267049,WI
43.000325,-107.5545669,WY
